# source: resources/Workstream 2 - Schema and Data Model/Cell Science Metadata/AICS_AIND_Data_Schema_Field_Crosswalk.xlsx
# original kept: yes


### sheet: Summary

AICS to AIND Data Schema Gap Analysis
Pinned reference: aind-data-schema v2.9.0 | Source: AICS candidate schema 0.6.0 slim REMBI-categorized primary-image view
Source records | 33184
Top-level fields | 186
Nested child fields | 49
AIND required checks | 42
Reference version | aind-data-schema v2.9.0
Prepared | 2026-08-25 16:00:00
Top-level mapping status | Count | Share |  | AIND required-gap severity | Count
Direct | 11 | 0.05913978494623656 |  | High | 28
Partial | 75 | 0.4032258064516129 |  | Medium | 9
Extension container | 48 | 0.25806451612903225 |  | Low | 5
No first-class analog | 23 | 0.12365591397849462
Platform or manifest | 10 | 0.053763440860215055
Derived/search-only | 19 | 0.10215053763440861
Interpretation
Only 11 top-level fields have a direct semantic destination. Direct mapping does not make the surrounding AIND object valid: 42 required or conditionally required target checks were assessed separately, and 28 are high-severity gaps. The dominant blockers are acquisition-level aggregation, cell-line/specimen identity, timing and device configuration, plate/well design, and missing administrative provenance.

### sheet: Top-level Crosswalk

Top-level AICS to AIND Crosswalk
All 186 physical top-level fields in the supplied Parquet view. Filters and conditional colors are enabled.
AICS field | AICS category | Description | AICS type | Requirement | Nested path | AIND target | Mapping status | Severity | Recommendation | Mapping note | Resolution layer | Reference version | Reference URL
fixed_cell_age_days | Specimen & Experimental Conditions | Harmonized metadata field for fixed cell age days. | double | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
replate_duration_days | Specimen & Experimental Conditions | Harmonized metadata field for replate duration days. | double | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
days_since_differentiation | Specimen & Experimental Conditions | Harmonized metadata field for days since differentiation. | double | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
beat_date_raw | Specimen & Experimental Conditions | Harmonized metadata field for beat date raw. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
metadata_qc_note | Governance, Provenance & Quality | Harmonized metadata field for metadata qc note. | string | optional |  | quality_control.notes | Direct | Low | R8 | Maps directly as a quality-control note. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
absence_of_excessive_cell_death | Experimental Design & Layout | Harmonized metadata field for absence of excessive cell death. | string | optional |  | data_description.tags[] or SpecimenProcedure.protocol_parameters | Extension container | Medium | R3/R6 | No typed experimental-condition or plate-layout construct. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
absence_of_migrating_cells_coming_from_colony_out_of_fov_at_time_of_migration | Experimental Design & Layout | Harmonized metadata field for absence of migrating cells coming from colony out of fov at time of migration. | string | optional |  | data_description.tags[] or SpecimenProcedure.protocol_parameters | Extension container | Medium | R3/R6 | No typed experimental-condition or plate-layout construct. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
analysis_method_and_details | Processing, Analysis & Derived Data | Harmonized metadata field for analysis method and details. | string | optional |  | processing.data_processes[].code.parameters / notes | Partial | Medium | R7 | Split software/code identifiers from narrative method details. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
analysis_scope | Processing, Analysis & Derived Data | Normalized scientific scope or biological process addressed by an analysis. | string | optional |  | processing.data_processes[].stage/name | Partial | Medium | R7 | AICS scope vocabulary does not directly equal AIND ProcessStage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
source_analysis_result_type | Processing, Analysis & Derived Data | Source-formatted analysis result or context text retained verbatim for provenance. | string | optional |  | processing.data_processes[].output_parameters | Partial | Low | R7 | Retain source wording in output parameters for provenance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
analysis_activities | Processing, Analysis & Derived Data | Controlled activities performed in an analysis, represented as a multi-valued list. | list<element: string> | optional |  | processing.data_processes[].process_type/name | Partial | Medium | R7 | May expand one AICS list into multiple ordered DataProcess records. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cas9 | Biological Source | Harmonized metadata field for cas9. | string | optional |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cas9_batch | Biological Source | Harmonized metadata field for cas9 batch. | string | optional |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cold_store_candidate | Governance, Provenance & Quality | Harmonized metadata field for cold store candidate. | string | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
colony_position | Experimental Design & Layout | Harmonized metadata field for colony position. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
condition | Experimental Design & Layout | Harmonized metadata field for condition. | string | optional |  | data_description.tags[] or SpecimenProcedure.protocol_parameters | Extension container | Medium | R3/R6 | No typed experimental-condition or plate-layout construct. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
content_generation_algorithm | Processing, Analysis & Derived Data | Harmonized metadata field for content generation algorithm. | string | optional |  | processing.data_processes[].code.name/version | Partial | High | R7 | Algorithm name alone does not satisfy AIND Code.url or reproducibility requirements. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
control_or_aphidicolin | Specimen & Experimental Conditions | Harmonized metadata field for control or aphidicolin. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cr_rna | Biological Source | Harmonized metadata field for cr rna. | string | optional |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cr_rna_batch | Biological Source | Harmonized metadata field for cr rna batch. | string | optional |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
culture_media | Specimen & Experimental Conditions | Harmonized metadata field for culture media. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
data_used_for_analysis_quilt_path_to_analysis_csv | Processing, Analysis & Derived Data | Harmonized metadata field for data used for analysis quilt path to analysis csv. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
dataset_id | Study & Dataset | Harmonized metadata field for dataset id. | string | optional |  | metadata.other_identifiers[] | Partial | Medium | R1 | Preserve as an external identifier; AIND DataDescription has no project identifier field. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
diff_scientist | Governance, Provenance & Quality | Harmonized metadata field for diff scientist. | string | optional |  | Registry policy / data_description.data_summary or restrictions | Partial | Medium | R9/R10 | Route portable scientific meaning separately from platform governance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
diff_state | Specimen & Experimental Conditions | Harmonized metadata field for diff state. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
donor_plasmid | Biological Source | Harmonized metadata field for donor plasmid. | string | optional |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
donor_plasmid_batch | Biological Source | Harmonized metadata field for donor plasmid batch. | string | optional |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ecm_in_media | Specimen & Experimental Conditions | Harmonized metadata field for ecm in media. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
emt_inducer | Specimen & Experimental Conditions | Harmonized metadata field for emt inducer. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
experiment_type | Experimental Design & Layout | Harmonized metadata field for experiment type. | string | optional |  | data_description.tags[] or SpecimenProcedure.protocol_parameters | Extension container | Medium | R3/R6 | No typed experimental-condition or plate-layout construct. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
experimental_condition | Experimental Design & Layout | Harmonized metadata field for experimental condition. | string | optional |  | data_description.tags[] or SpecimenProcedure.protocol_parameters | Extension container | Medium | R3/R6 | No typed experimental-condition or plate-layout construct. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
fish_type | Specimen & Experimental Conditions | Harmonized metadata field for fish type. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
glass_coating | Specimen & Experimental Conditions | Harmonized metadata field for glass coating. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
glass_or_plastic_plate | Specimen & Experimental Conditions | Harmonized metadata field for glass or plastic plate. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
image_acquisition_parameters | Image Acquisition | Harmonized metadata field for image acquisition parameters. | string | optional |  | DataStream.configurations[] / notes | Partial | Medium | R4 | Structured parameters should populate typed configs; residual text may go to notes. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
imaging_start_time | Image Acquisition | Harmonized metadata field for imaging start time. | string | optional |  | acquisition.acquisition_start_time or Image.image_start_time | Partial | High | R4 | Granularity and timezone require normalization. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
input_file | Processing, Analysis & Derived Data | Harmonized metadata field for input file. | string | optional |  | processing.data_processes[].code.input_data or dependency_graph | Partial | Medium | R7 | Normalize to asset names and explicit processing dependencies. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
is_aligned | Processing, Analysis & Derived Data | Harmonized metadata field for is aligned. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
is_dual_camera | Image Acquisition | Harmonized metadata field for is dual camera. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
is_fov | Image Data & File Asset | Harmonized metadata field for is fov. | string | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
lumneoid_induction | Experimental Design & Layout | Harmonized metadata field for lumneoid induction. | string | optional |  | data_description.tags[] or SpecimenProcedure.protocol_parameters | Extension container | Medium | R3/R6 | No typed experimental-condition or plate-layout construct. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
match_criteria | Governance, Provenance & Quality | Harmonized metadata field for match criteria. | string | optional |  | Registry policy / data_description.data_summary or restrictions | Partial | Medium | R9/R10 | Route portable scientific meaning separately from platform governance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
matrigel_lot | Specimen & Experimental Conditions | Harmonized metadata field for matrigel lot. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
media_condition | Specimen & Experimental Conditions | Harmonized metadata field for media condition. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
movie_id | Image Data & File Asset | Harmonized metadata field for movie id. | string | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
name_in_nuc_morph_analysis_repo | Processing, Analysis & Derived Data | Harmonized metadata field for name in nuc morph analysis repo. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
notes | Governance, Provenance & Quality | Harmonized metadata field for notes. | string | optional |  | metadata/core-file notes | Direct | Low | R9 | Route the note to the most specific core object rather than duplicating it. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
nuclear_import_inhibitor | Specimen & Experimental Conditions | Harmonized metadata field for nuclear import inhibitor. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
objective_immersion_medium_refraction_index | Image Acquisition | Harmonized metadata field for objective immersion medium refraction index. | string | optional |  | ImagingConfig.images[] / image transform / file-manifest extension | Partial | Medium | R4/R5 | AIND imaging objects capture some geometry but not a generic TCZYX file-header model. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
organism | Biological Source | Scientific name of the source organism. | string | required |  | subject.subject_details.species | Partial | High | R2 | Species can map to NCBI Taxonomy, but AICS cell lines are not AIND Subject instances. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
original_diff_or_replate | Specimen & Experimental Conditions | Harmonized metadata field for original diff or replate. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
passage | Specimen & Experimental Conditions | Harmonized metadata field for passage. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
pipeline_collection | Study & Dataset | Harmonized metadata field for pipeline collection. | string | optional |  | data_description.tags[]; processing.pipelines[] | Partial | Medium | R7 | Meaning must be disambiguated between dataset grouping and processing pipeline. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_batch | Experimental Design & Layout | Harmonized metadata field for plate batch. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
plate_status | Experimental Design & Layout | Harmonized metadata field for plate status. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
preparation_method | Specimen & Experimental Conditions | Harmonized metadata field for preparation method. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
presence_of_migration | Experimental Design & Layout | Harmonized metadata field for presence of migration. | string | optional |  | data_description.tags[] or SpecimenProcedure.protocol_parameters | Extension container | Medium | R3/R6 | No typed experimental-condition or plate-layout construct. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
protocol | Specimen & Experimental Conditions | Harmonized metadata field for protocol. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
protocol_applied | Specimen & Experimental Conditions | Harmonized metadata field for protocol applied. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
qc_638nm_crop_top_false_clip | Governance, Provenance & Quality | Harmonized metadata field for qc 638nm crop top false clip. | string | optional |  | quality_control.metrics[] | Partial | Medium | R8 | Create a named QCMetric with modality, stage, value, and status history. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
qc_brightfield_z_stack_out_of_order | Governance, Provenance & Quality | Harmonized metadata field for qc brightfield z stack out of order. | string | optional |  | quality_control.metrics[] | Partial | Medium | R8 | Create a named QCMetric with modality, stage, value, and status history. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
qc_pass_intensity | Governance, Provenance & Quality | Harmonized metadata field for qc pass intensity. | string | optional |  | quality_control.metrics[] | Partial | Medium | R8 | Create a named QCMetric with modality, stage, value, and status history. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_data_size_gb | Image Data & File Asset | Harmonized metadata field for raw data size gb. | double | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_data_type | Image Data & File Asset | Harmonized metadata field for raw data type. | string | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_image_data | Image Data & File Asset | Harmonized metadata field for raw image data. | string | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
raw_image_processing_method | Processing, Analysis & Derived Data | Harmonized metadata field for raw image processing method. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
segmentation_dimension | Processing, Analysis & Derived Data | Harmonized metadata field for segmentation dimension. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
segmentation_image_data | Processing, Analysis & Derived Data | Harmonized metadata field for segmentation image data. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
segmentation_shape | Processing, Analysis & Derived Data | Harmonized metadata field for segmentation shape. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
segmentation_data_type | Processing, Analysis & Derived Data | Harmonized metadata field for segmentation data type. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
segmentation_image_size | Processing, Analysis & Derived Data | Harmonized metadata field for segmentation image size. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
segmentation_pixel_voxel_size | Processing, Analysis & Derived Data | Harmonized metadata field for segmentation pixel voxel size. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
should_be_in_local_cache | Governance, Provenance & Quality | Harmonized metadata field for should be in local cache. | string | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
signal_contrast_mechanism | Image Acquisition | Harmonized metadata field for signal contrast mechanism. | string | optional |  | data_description.modalities[] / Channel.intended_measurement | Partial | Medium | R4 | Map brightfield/confocal when possible; otherwise retain as intended measurement. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
single_colony_or_lumenoid_at_time_of_migration | Experimental Design & Layout | Harmonized metadata field for single colony or lumenoid at time of migration. | string | optional |  | No first-class AIND plate/well model; possible SpecimenProcedure.protocol_parameters | No first-class analog | High | R3 | Plate/well identity and experimental layout would be untyped or lost. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
stage | Specimen & Experimental Conditions | Harmonized metadata field for stage. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
study_title | Study & Dataset | Harmonized metadata field for study title. | string | optional |  | data_description.project_name or data_summary | Partial | Medium | R1 | Select one canonical project_name and retain the fuller title in data_summary when different. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
study_type | Study & Dataset | Harmonized metadata field for study type. | string | optional |  | data_description.tags[] | Partial | Medium | R1 | No typed study object or study-type field exists. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
tag_location | Biological Source | Harmonized metadata field for tag location. | string | optional |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
template | Study & Dataset | Harmonized metadata field for template. | string | optional |  | data_description.tags[] or notes | Partial | Low | R1 | No first-class template field. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
